rank_by_auc,run_name,model_type,relation_mode,max_users,use_graph_encoder,use_temporal_encoder,use_prerequisite_edges,auc,accuracy,f1,bce_loss,run_dir,config_path
1,ednet20k_thgkt_no_prereq,thgkt,transition,20000,True,True,False,0.763527105205419,0.7310968486219449,0.817444971284462,0.5325089082709091,artifacts\ednet_20k_suite\ednet20k_thgkt_no_prereq,artifacts\ednet_20k_suite\resolved_configs\thgkt_no_prereq_cuda.json
2,ednet20k_thgkt_cooccurrence_graph,thgkt,cooccurrence,20000,True,True,True,0.7618597302289822,0.7300761163262675,0.8169412969350955,0.5344698948953902,artifacts\ednet_20k_suite\ednet20k_thgkt_cooccurrence_graph,artifacts\ednet_20k_suite\resolved_configs\thgkt_cooccurrence_graph_cuda.json
3,ednet20k_thgkt_full,thgkt,transition,20000,True,True,True,0.7613360010500438,0.7299458666322879,0.8159561604130341,0.5347822317966449,artifacts\ednet_20k_suite\ednet20k_thgkt_full,artifacts\ednet_20k_suite\resolved_configs\thgkt_full_cuda.json
4,ednet20k_thgkt_no_temporal,thgkt,transition,20000,True,False,True,0.7539126879139036,0.7248741030381406,0.8101392370349785,0.5407848201937343,artifacts\ednet_20k_suite\ednet20k_thgkt_no_temporal,artifacts\ednet_20k_suite\resolved_configs\thgkt_no_temporal_cuda.json
5,ednet20k_dkt_baseline,dkt_baseline,transition,20000,,,,0.6422866853323205,0.6913919572143046,0.8053947093831636,0.603939998661398,artifacts\ednet_20k_suite\ednet20k_dkt_baseline,artifacts\ednet_20k_suite\resolved_configs\dkt_baseline_cuda.json
6,ednet20k_graph_only,graph_only,transition,20000,,,,0.5858222223718,0.670912186453766,0.8016784834378313,0.6240589135834859,artifacts\ednet_20k_suite\ednet20k_graph_only,artifacts\ednet_20k_suite\resolved_configs\graph_only_cuda.json
